NAF_SECTION,Entité,g CO2 / € du secteur,g CO2 /  € de l'entreprise,tonnes CO2 scopes 1 & 2
INFORMATION ET COMMUNICATION,SAS GROUPE NICE MATIN,3.7966957841262348,27.780611594091344,1910
TRANSPORTS ET ENTREPOSAGE,GEODIS WALBAUM,204.66311751274316,27.67729047791298,5676
INDUSTRIE MANUFACTURIÈRE,FPT POWERTRAIN TECHNOLOGIES FRANCE SA,111.09005926541855,27.63111865266628,11635
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,McDonalds France Services,19.57412416974631,27.607201668256124,2578.13
INDUSTRIE MANUFACTURIÈRE,Kronenbourg SAS,111.09005926541855,27.55383128733484,23829
INDUSTRIE MANUFACTURIÈRE,HARIBO RICQLES ZAN,111.09005926541855,27.5161635114316,6834
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,Sysco France,10.451564077108435,27.443345756536218,32256.24
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,COLRUYT RETAIL FRANCE,10.451564077108435,27.44205992422437,16059
INDUSTRIE MANUFACTURIÈRE,COMPAGNIE LAMPAULAISE DE SALAISON,111.09005926541855,27.376120916444442,4549
INDUSTRIE MANUFACTURIÈRE,BRIDOR,111.09005926541855,27.3409973764565,12200
CONSTRUCTION,SAS BRUNET,36.54854887929035,27.10864350325897,3762.89
INDUSTRIE MANUFACTURIÈRE,AXIMA REFRIGERATION FRANCE,111.09005926541855,26.993688609098918,11324
CONSTRUCTION,INEO MPLR,36.54854887929035,26.607737010689362,4476.7
INDUSTRIE MANUFACTURIÈRE,BEL SA,111.09005926541855,26.44733977525832,37902
INDUSTRIE MANUFACTURIÈRE,DANONE PRODUITS FRAIS FRANCE,111.09005926541855,26.23828028103658,37478.84
INDUSTRIE MANUFACTURIÈRE,DELPEYRAT,111.09005926541855,26.19109425306951,6760
ACTIVITÉS DE SCE ADMINISTR  DE SOUTIEN,ORAK,11.337593411672346,25.908165517918025,50.7
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ALDI MARCHE ABLIS SARL,10.451564077108435,25.42867489547676,7485.9
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,BDMS DISTRIBUTION,10.451564077108435,25.424306890077453,6941.15
ACTIVITÉS DE SCE ADMINISTR  DE SOUTIEN,Xerox Technology Services,11.337593411672346,25.28259217091329,3000
INDUSTRIE MANUFACTURIÈRE,Legrand France SA,111.09005926541855,25.241545893719806,20900
INDUSTRIE MANUFACTURIÈRE,SEB SA,111.09005926541855,25.037822809429507,3884
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,ADREXO,19.57412416974631,24.81652373598911,5460
INDUSTRIE MANUFACTURIÈRE,Kermené,111.09005926541855,24.726849610606447,26144.39
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,Institut Technique Gaz et Air ITGA,19.57412416974631,24.65935937624529,1401
CONSTRUCTION,MISSENARDQUINT B,36.54854887929035,24.637681569277785,2178
INDUSTRIE MANUFACTURIÈRE,Ethypharm,111.09005926541855,24.3072801510981,3746
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,OCEALIA,10.451564077108435,24.2296646059485,19910
INDUSTRIE MANUFACTURIÈRE,Grands Moulins de Paris,111.09005926541855,24.227102535161993,11634
CONSTRUCTION,EI JP FAUCHE,36.54854887929035,24.107282068467804,3505
CONSTRUCTION,EIFFAGE ENEGIE SYSTEMES TELECOM SUDEST,36.54854887929035,24.085630267770533,3438.03
HÉBERGEMENT ET RESTAURATION,le 19 avenue Kléber,35.39174818344916,23.972362182898117,317.39
INDUSTRIE MANUFACTURIÈRE,EES  Clemessy Services,111.09005926541855,23.938410042588206,4504
TRANSPORTS ET ENTREPOSAGE,AUCHAN HYPERMARCHES LOGISTIQUE SAS,204.66311751274316,23.909517949215843,14105
CONSTRUCTION,INEO HautsdeFrance,36.54854887929035,23.58100097373632,2254
ACTIVITÉS DE SCE ADMINISTR  DE SOUTIEN,STPI,11.337593411672346,23.44724875052837,991.6
INDUSTRIE MANUFACTURIÈRE,Fresenius Kabi France,111.09005926541855,23.40081409091183,7327
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,Apave Sudeurope SAS,19.57412416974631,23.341556354356428,7705.4
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,CIBOMAT,10.451564077108435,23.043766674649024,4597
INDUSTRIE MANUFACTURIÈRE,Moteurs LeroySomer,111.09005926541855,22.98443810344157,11958
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,GL events,19.57412416974631,22.978610457340146,11081.32
INDUSTRIE MANUFACTURIÈRE,CEMOI Confiseur,111.09005926541855,22.93380272339428,3966
INDUSTRIE MANUFACTURIÈRE,Société de Transmissions Automatiques STA,111.09005926541855,22.896666612727717,4668
INDUSTRIE MANUFACTURIÈRE,CONNECTEURS ELECTRIQUES DEUTSCH,111.09005926541855,22.469276664162294,2341.1
AGRICULTURE SYLVICULTURE ET PÊCHE,HM CLAUSE SA,32.21353907408442,22.44348492620243,4208
TRANSPORTS ET ENTREPOSAGE,Aéroport Nice Côte dAzur,204.66311751274316,22.43803584751682,2832.7
HÉBERGEMENT ET RESTAURATION,Hippopotamus,35.39174818344916,22.397076067462233,1560
INDUSTRIE MANUFACTURIÈRE,Société anonyme,111.09005926541855,22.32557634698042,20569
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,Pro à Pro distribution nord,10.451564077108435,22.165045793101807,7376
INDUSTRIE MANUFACTURIÈRE,ATLANTIC INDUSTRIE,111.09005926541855,22.057109285732555,4476
INDUSTRIE MANUFACTURIÈRE,PUNCH POWERGILDE STRASBOURG,111.09005926541855,21.978363014748858,7674
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,Berner SARL,10.451564077108435,21.955352278942154,5205
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,QUALICONSULT,19.57412416974631,21.8565704952828,2150
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,SILLIKER SAS,19.57412416974631,21.84612181184457,1579
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,BIC SERVICES,19.57412416974631,21.603329584849636,1659
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,Apave Alsacienne SAS,19.57412416974631,21.5935875274237,1127.28
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,DMBP,10.451564077108435,21.457316356930267,8341
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,Pro à Pro distribution sud,10.451564077108435,21.205722977563223,6356
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ALDI MARCHE BOISGRENIER SARL,10.451564077108435,21.204488083440072,6185.1
SANTÉ HUMAINE ET ACTION SOCIALE,clinique ESQUIROL SAINT HILAIRE,38.179840396068116,21.150705979286375,1278
CONSTRUCTION,thyssenkrupp Ascenseurs,36.54854887929035,21.093968331859386,6798.02
CONSTRUCTION,INEO Centre,36.54854887929035,20.85552141538584,1628
CONSTRUCTION,ETABLISSEMENTS POULINGUE,36.54854887929035,20.797760268288908,756
CONSTRUCTION,NGE Génie Civil,36.54854887929035,20.681063534207926,5145.35
HÉBERGEMENT ET RESTAURATION,POMME DE PAIN,35.39174818344916,20.66579013257928,389
Gestion eau déchets  dépollution,Bouygues Construction Services Nucléaires,253.7705462417691,20.64265796276506,1267.28
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ALDI BEAUNE SARL,10.451564077108435,20.634427070658734,5828.29
INDUSTRIE MANUFACTURIÈRE,Schaeffler France SAS,111.09005926541855,20.5236553113288,10772
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ALDI MARCHE OYTIER SAINT OBLAS SARL,10.451564077108435,20.52106045406959,4980.62
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,OXYPHARM,10.451564077108435,20.473634801148748,2674
INDUSTRIE MANUFACTURIÈRE,Mahle Behr France,111.09005926541855,20.425680013772745,2310
ACTIVITÉS DE SCE ADMINISTR  DE SOUTIEN,OMS Synergie Group,11.337593411672346,20.39202666013356,781
SANTÉ HUMAINE ET ACTION SOCIALE,Polyclinique de Limoges,38.179840396068116,20.370308885816037,1886
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,RIU AUBLET et cie,10.451564077108435,20.35872509429841,654
INDUSTRIE MANUFACTURIÈRE,NESTLE FRANCE SAS,111.09005926541855,20.355032792222786,44481
INDUSTRIE MANUFACTURIÈRE,elmleblanc SAS,111.09005926541855,20.352017535497147,3521
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,COOP ATLANTIQUE,10.451564077108435,20.345021450003216,16755
SANTÉ HUMAINE ET ACTION SOCIALE,SA Polyclinique de Gentilly,38.179840396068116,20.342853741827245,1441
HÉBERGEMENT ET RESTAURATION,LA BRIOCHE DOREE,35.39174818344916,20.341630739261607,1288
INDUSTRIE MANUFACTURIÈRE,AUTOLIV Isodelta,111.09005926541855,20.3408654806165,3532.31
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ALDI MARCHE CAVAILLON SARL,10.451564077108435,20.336927605616964,6335.02
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,BASTIDE LE CONFORT MEDICAL,10.451564077108435,20.217559001419836,9042
AUTRES ACTIVITÉS DE SERVICES,EuroInformation Services,34.512807637621336,20.19395022759932,2049
ACTIVITÉS FINANCIÈRES ET DASSURANCE,Schneider Electric Energy France,0.9862627254439513,20.11155100621176,2900
INDUSTRIE MANUFACTURIÈRE,FERCO SAS,111.09005926541855,20.019181540882702,2606
TRANSPORTS ET ENTREPOSAGE,FM FRANCE SAS,204.66311751274316,19.893636372148144,10041.41
INDUSTRIE MANUFACTURIÈRE,Nexans France,111.09005926541855,19.864566728938424,37438
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,POMONA,10.451564077108435,19.844507815940528,68899
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ALDI MARCHE DAMMARTIN SARL,10.451564077108435,19.831272759798896,5390.21
INDUSTRIE MANUFACTURIÈRE,CEMOI Chocolatier,111.09005926541855,19.812514671039107,8783.5
INDUSTRIE MANUFACTURIÈRE,Airbus opérations sas,111.09005926541855,19.72233422939068,176081
ACTIVITÉS IMMOBILIÈRES,SIDR,85.19463342256317,19.71194463411529,6813
INDUSTRIE MANUFACTURIÈRE,Société JOUVE,111.09005926541855,19.70113019528486,1292
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,BASF France SAS,10.451564077108435,19.508140565569626,26206
HÉBERGEMENT ET RESTAURATION,CRESCENDO RESTAURATIONSA,35.39174818344916,19.478750018828315,2276
INDUSTRIE MANUFACTURIÈRE,MARIE,111.09005926541855,19.381730504190653,5633
CONSTRUCTION,CARDINAL EDIFICE,36.54854887929035,19.36205044057602,2019.61
INDUSTRIE MANUFACTURIÈRE,Ateliers dArmançon,111.09005926541855,19.35389655518236,330
CONSTRUCTION,SFERIS,36.54854887929035,19.244860652904624,2045
SANTÉ HUMAINE ET ACTION SOCIALE,EMERA,38.179840396068116,19.133605945361197,1142.8
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,BRICORAMA FRANCE,10.451564077108435,19.06197545219547,6781
INDUSTRIE MANUFACTURIÈRE,Josselin Porc Abattage,111.09005926541855,19.039780342259963,5386.89
CONSTRUCTION,EIFFAGE ENERGIE SYSTEMES VAL DE LOIRE,36.54854887929035,18.991013300050263,1389.67
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ETABLISSEMENTS HORTICOLES GEORGES TRUFFAUT,10.451564077108435,18.96794978198662,7922
INDUSTRIE MANUFACTURIÈRE,THUASNE,111.09005926541855,18.93631376591641,3059
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ALDI MARCHE CUINCY SARL,10.451564077108435,18.927006038796613,7733.79
INDUSTRIE MANUFACTURIÈRE,Merial SAS,111.09005926541855,18.91166398684138,15696.74
INDUSTRIE MANUFACTURIÈRE,NEXTER Munitions,111.09005926541855,18.909570355955747,4187.68
INDUSTRIE MANUFACTURIÈRE,OCTAPHARMA Lingolsheim,111.09005926541855,18.80120624573217,5006
INDUSTRIE MANUFACTURIÈRE,Gatine Viandes,111.09005926541855,18.696581005019425,4431.66
INDUSTRIE MANUFACTURIÈRE,SAFRAN POWER UNITS,111.09005926541855,18.605510099829676,2528
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,ALDI MARCHE HONFLEUR SARL,10.451564077108435,18.59215230784044,4996.7
INDUSTRIE MANUFACTURIÈRE,ARAYMOND France SaintEgrève,111.09005926541855,18.580273103162007,1716
CONSTRUCTION,KAEFER WANNER,36.54854887929035,18.55288621154374,2815
INDUSTRIE MANUFACTURIÈRE,SEPTODONT,111.09005926541855,18.460191531855376,2330
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,APROLIS,10.451564077108435,18.44190451972001,3629
INDUSTRIE MANUFACTURIÈRE,VALEO EMBRAYAGES,111.09005926541855,18.441762674896967,5190.09
ACT SPÉCIALISÉE SCIENTIFIQ  TECHNIQ,SCOP NYMPHALIS,19.57412416974631,18.39988157980798,10.69
INFORMATION ET COMMUNICATION,CINQ SUR CINQ,3.7966957841262348,18.38351725432736,2317
INDUSTRIE MANUFACTURIÈRE,SNIC,111.09005926541855,18.37228395792186,60.24
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,TEREVA,10.451564077108435,18.36266302275918,6692
HÉBERGEMENT ET RESTAURATION,LES VILLAGES CLUBS DU SOLEIL,35.39174818344916,18.353184086259965,960
COMMERCE  RÉPAR AUTOMOBILE  MOTOCYCLE,Auchan Retail France,10.451564077108435,18.352556097003536,224839
INDUSTRIE MANUFACTURIÈRE,Mondelez france biscuits production SAS,111.09005926541855,18.335393525480168,31111
